Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Funk M.A.","57207944831;","Flexible domains in a well-oiled machine",2019,"Science","364","6446",,"1148","",,,"10.1126/science.364.6446.1146-k","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069603465&doi=10.1126%2fscience.364.6446.1146-k&partnerID=40&md5=1e4841cbba01fccb1ab20f30bcb797d7",,"Funk, M.A.",[No abstract available],,"adenosine triphosphate; proton transporting adenosine triphosphate synthase; chemical bond; conformational transition; energy; energy conversion; force; human; hydrolysis; kinetic energy; nonhuman; Note; phosphodiester bond; priority journal; protein domain; synthesis",,"adenosine triphosphate, 15237-44-2, 56-65-5, 987-65-5; proton transporting adenosine triphosphate synthase, 37205-63-3",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069603465
"Hurtley S.M.","56503377300;","ER-phagy keeps cells healthy",2019,"Science","365","6448",,"42","",,,"10.1126/science.365.6448.40-o","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069602058&doi=10.1126%2fscience.365.6448.40-o&partnerID=40&md5=123ec48ea9843b92e0c673a141901466",,"Hurtley, S.M.",[No abstract available],,"cell protein; cell receptor; fungal protein; SEC24C protein; secretory protein; solute carrier organic anion transporter 1B1; unclassified drug; autophagy; cell vacuole; cytology; endoplasmic reticulum; eukaryote; Golgi complex; mammal cell; nonhuman; Note; priority journal; protein aggregation; protein degradation; protein domain; protein function; protein misfolding; protein targeting; quality control; starvation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069602058
"Zahn L.M.","57201563027;","Spatiotemporal gene expression in ALS",2019,"Science","364","6435",,"40B","",,,"10.1126/science.364.6435.38-o","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069601757&doi=10.1126%2fscience.364.6435.38-o&partnerID=40&md5=1789937b734b11a14229d75f18b1c7cf",,"Zahn, L.M.",[No abstract available],,"amyotrophic lateral sclerosis; brain cell; disease course; gene expression; human; nerve tract; nonhuman; Note; priority journal; RNA sequence; spatiotemporal analysis; spinal cord nerve cell",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069601757
"Wong W.","57204829444;","PC2 separates mitochondria from the ER",2019,"Science","364","6440",,"544","",,,"10.1126/science.364.6440.542-s","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069601575&doi=10.1126%2fscience.364.6440.542-s&partnerID=40&md5=efc61d409f66fcaa48c372906f266ba3",,"Wong, W.",[No abstract available],,"calcium; mitochondrial calcium; mitofusin 2; polycystin 2; unclassified drug; calcium transport; cell culture; cell proliferation; endoplasmic reticulum; kidney polycystic disease; mitochondrion; nonhuman; Note; pathogenesis; priority journal; protein expression",,"calcium, 7440-70-2, 14092-94-5",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069601575
"Alderton G.","57207948291;","The microbiota in colorectal cancer",2019,"Science","364","6446",,"1148","",,,"10.1126/science.364.6446.1146-p","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069598520&doi=10.1126%2fscience.364.6446.1146-p&partnerID=40&md5=d71b1b05fda618618325c8d7842b8d59",,"Alderton, G.",[No abstract available],,"cancer diagnosis; cancer prevention; cancer therapy; colorectal cancer; disease association; microflora; nonhuman; Note; priority journal; treatment response; tumor growth",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069598520
"Alderton G.","57207948291;","Brain immune cells in disease",2019,"Science","365","6448",,"42","",,,"10.1126/science.365.6448.40-q","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069595880&doi=10.1126%2fscience.365.6448.40-q&partnerID=40&md5=8a9600f4e0e1347d469aa1b31b71f91b",,"Alderton, G.",[No abstract available],,"Alzheimer disease; disease association; hemostasis; human; immunocompetent cell; macrophage; microglia; multiple sclerosis; Note; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069595880
"Vinson V.","57204455504;","The architecture of a signaling hub",2019,"Science","364","6438",,"349C","",,,"10.1126/science.364.6438.347-r","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069594936&doi=10.1126%2fscience.364.6438.347-r&partnerID=40&md5=ee776bfdd5556c3fd2945c2cb911b3dc",,"Vinson, V.",[No abstract available],,"adenylate cyclase; cyclic AMP; guanine nucleotide binding protein; alpha helix; enzyme active site; enzyme activity; enzyme inhibition; membrane potential; Note; priority journal; protein domain; protein structure; signal transduction",,"adenylate cyclase, 9012-42-4; cyclic AMP, 60-92-4",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069594936
"Grocholski B.","35362140600;","Hierarchical functional nanocomposites",2019,"Science","364","6447",,"1249","",,,"10.1126/science.364.6447.1247-i","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069593678&doi=10.1126%2fscience.364.6447.1247-i&partnerID=40&md5=2da0ab904e00e23de8237e91d866a5d6",,"Grocholski, B.",[No abstract available],,"nanocomposite; devices; Note; priority journal; synthesis",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069593678
"Jesse Smith H.","57207953169;","An uplifting effect",2019,"Science","364","6444",,"968","",,,"10.1126/science.364.6444.966-l","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069592175&doi=10.1126%2fscience.364.6444.966-l&partnerID=40&md5=6c7340609081358779d9e63de0435464",,"Jesse Smith, H.",[No abstract available],,"Antarctica; climate change; deglaciation; environmental impact; ice sheet; melting point; Note; priority journal; sea level",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069592175
[No author name available],[No author id available],"How many metals to oxidize methane?",2019,"Science","364","6440",,"544","",,,"10.1126/science.364.6440.542-n","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069591325&doi=10.1126%2fscience.364.6440.542-n&partnerID=40&md5=baa362f140789dfdd2d4d7685244858a",,"",[No abstract available],,"copper; metal; methane; methane monooxygenase; methanol; monocopper; unclassified drug; biomimetics; catalysis; enzyme structure; methane oxidation; Note; oxidation; priority journal",,"copper, 15158-11-9, 7440-50-8; methane, 74-82-8; methane monooxygenase, 51961-97-8; methanol, 67-56-1",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069591325
"Vignieri S.","6508070245;","A small, interconnected world",2019,"Science","364","6446",,"1148","",,,"10.1126/science.364.6446.1146-l","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069589692&doi=10.1126%2fscience.364.6446.1146-l&partnerID=40&md5=dd1c54359804b9f63c3bda0d0077e835",,"Vignieri, S.",[No abstract available],,"fishery management; food security; geographic distribution; larva; marine biology; marine species; Note; population distribution; priority journal; species conservation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069589692
"Vignieri S.","6508070245;","Facilitating “wildness”",2019,"Science","364","6438",,"349B","",,,"10.1126/science.364.6438.347-k","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069588890&doi=10.1126%2fscience.364.6438.347-k&partnerID=40&md5=46f93bfc8ab4cbd277d98121ed95af40",,"Vignieri, S.",[No abstract available],,"biodiversity; human; human impact (environment); Note; priority journal; species coexistence; species extinction; wilderness; wildlife conservation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069588890
"Hines P.J.","7007106302;","Origins of neuronal diversity",2019,"Science","364","6440",,"544","",,,"10.1126/science.364.6440.542-k","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069588113&doi=10.1126%2fscience.364.6440.542-k&partnerID=40&md5=0805e863fddf42b0ab7282f96b8086a4",,"Hines, P.J.",[No abstract available],,"brain development; cell maturation; embryo development; mitosis; neocortex; nerve cell; nerve cell differentiation; Note; priority journal; RNA sequence; stem cell; transcription initiation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069588113
"Kiberstis P.A.","6603060394;","Oxygen sensing across kingdoms",2019,"Science","365","6448",,"42","",,,"10.1126/science.365.6448.40-p","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069587821&doi=10.1126%2fscience.365.6448.40-p&partnerID=40&md5=892143f05e066c419e2eea0b6b329379",,"Kiberstis, P.A.",[No abstract available],,"cysteine dioxygenase; cysteine sulfinic acid; amino terminal sequence; human; hypoxia; nonhuman; Note; oxygen sensing; plant; priority journal; protein degradation; protein targeting",,"cysteine dioxygenase, 37256-59-0; cysteine sulfinic acid, 1115-65-7, 2381-08-0",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069587821
"Zahn L.M.","57201563027;","APOBEC3A hairpin passenger hotspots",2019,"Science","364","6447",,"1249","",,,"10.1126/science.364.6447.1247-j","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069587566&doi=10.1126%2fscience.364.6447.1247-j&partnerID=40&md5=375a9a2597e5cc14a02140d93b692cc6",,"Zahn, L.M.",[No abstract available],,"APOBEC3A protein; enzyme; unclassified drug; APOBEC3A gene; cancer risk; carcinogenesis; DNA stem loop; DNA structure; dynamics; gene function; gene mutation; genome; genomics; human; malignant neoplasm; mutational analysis; Note; passenger mutation; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069587566
"Stern P.","7202618089;","Rethinking primary visual cortex function",2019,"Science","364","6447",,"1249","",,,"10.1126/science.364.6447.1247-n","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069586955&doi=10.1126%2fscience.364.6447.1247-n&partnerID=40&md5=e9b8806ecfbb04ea0ca17a798e4d33a2",,"Stern, P.",[No abstract available],,"nerve cell; nonhuman; Note; primate; priority journal; striate cortex; visual orientation; visual system function",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069586955
"Vinson V.","57204455504;","Regulating signals at synapses",2019,"Science","364","6438",,"34","",,,"10.1126/science.364.6438.347-l","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069586630&doi=10.1126%2fscience.364.6438.347-l&partnerID=40&md5=4109f1808923283f535fec80acdec1ac",,"Vinson, V.",[No abstract available],,"AMPA receptor; glutamate receptor; hippocampus; Note; priority journal; protein structure; signal transduction; synapse",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069586630
"Hurtley S.M.","56503377300;","Linking protein misfolding and innate immunity",2019,"Science","365","6448",,"42","",,,"10.1126/science.365.6448.40-n","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069585866&doi=10.1126%2fscience.365.6448.40-n&partnerID=40&md5=b530d7ec5173db44a7e61c20b1027d39",,"Hurtley, S.M.",[No abstract available],,"activating transcription factor 4; heat shock protein; heat shock protein B8; initiation factor 2alpha; unclassified drug; complex formation; endoplasmic reticulum; innate immunity; microorganism; nonhuman; Note; priority journal; protein aggregation; protein folding; protein misfolding; signal transduction; unfolded protein response",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069585866
"Alderton G.","57207948291;","Generating neurons in the adult brain",2019,"Science","364","6443",,"848","",,,"10.1126/science.364.6443.846-q","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069585862&doi=10.1126%2fscience.364.6443.846-q&partnerID=40&md5=5ce2cf38104d69964d01119c1a741fdf",,"Alderton, G.",[No abstract available],,"adult neurogenesis; adulthood; brain development; embryo development; human; learning; memory; nerve cell plasticity; nerve degeneration; nervous system development; Note; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069585862
"Hurtley S.M.","56503377300;","Glycine N-degron regulation revealed",2019,"Science","365","6448",,"42","",,,"10.1126/science.365.6448.40-l","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069585552&doi=10.1126%2fscience.365.6448.40-l&partnerID=40&md5=c221960ffdcc3131d352ee064b851ab7",,"Hurtley, S.M.",[No abstract available],,"cullin; glycine; proteasome; ubiquitin protein ligase E3; amino acid analysis; amino terminal sequence; human; Note; priority journal; protein degradation; protein stability",,"glycine, 56-40-6, 6000-43-7, 6000-44-8; proteasome, 140879-24-9",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069585552
"Scanlon S.T.","57207946389;","Degradation triggers the alarm",2019,"Science","364","6435",,"40B","",,,"10.1126/science.364.6435.38-j","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069582289&doi=10.1126%2fscience.364.6435.38-j&partnerID=40&md5=c7eb6ac3c22b4eef501e605960cc3b0c",,"Scanlon, S.T.",[No abstract available],,"cytokine; inflammasome; interleukin 1beta converting enzyme; proteasome; protein NLRP1B; unclassified drug; amino terminal sequence; antigen recognition; carboxy terminal sequence; cell death; cytokine release; enzyme activation; enzyme activity; gene knockout; host pathogen interaction; human; immune response; Note; priority journal; protein analysis; protein degradation",,"interleukin 1beta converting enzyme, 122191-40-6, 187414-12-6; proteasome, 140879-24-9",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069582289
"Stajic J.","57189019027;","A detailed look into 2D magnetism",2019,"Science","364","6444",,"968","",,1,"10.1126/science.364.6444.966-m","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069581887&doi=10.1126%2fscience.364.6444.966-m&partnerID=40&md5=78bf6209994921bd0ca6df91d0f4ea38",,"Stajic, J.",[No abstract available],,"diamond; ferromagnetic material; nitrogen; magnetism; magnetometry; Note; priority journal",,"diamond, 7782-40-3; nitrogen, 7727-37-9",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069581887
"Yeston J.","57195603975;","Spotlight on copper",2019,"Science","364","6439",,"449","",,,"10.1126/science.364.6439.447-j","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069580764&doi=10.1126%2fscience.364.6439.447-j&partnerID=40&md5=e99bbb59f8bd0e5babd6cf53ea344186",,"Yeston, J.",[No abstract available],,"copper; iridium; ruthenium; chemical analysis; chemical reaction; density; electron transport; geology; Note; priority journal",,"copper, 15158-11-9, 7440-50-8; iridium, 13967-67-4, 7439-88-5; ruthenium, 7440-18-8",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069580764
"Smith K.T.","57200201039;","Cassini's last look at Saturn's rings",2019,"Science","364","6445",,"1045","",,,"10.1126/science.364.6445.1043-j","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069580084&doi=10.1126%2fscience.364.6445.1043-j&partnerID=40&md5=96a38d53b0f203f6dccdceef4c6f7f94",,"Smith, K.T.",[No abstract available],,"astronomy; evolution; gravity; mass; moon; morphology; Note; particle size; priority journal; structure analysis",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069580084
"Stern P.","7202618089;","Fear behavior and the insular cortex",2019,"Science","364","6443",,"848","",,,"10.1126/science.364.6443.846-k","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069579904&doi=10.1126%2fscience.364.6443.846-k&partnerID=40&md5=9911722f650697de605f78ed04d3a8d1",,"Stern, P.",[No abstract available],,"cell subpopulation; central nucleus (amygdala); fear; fear conditioning test; insula; learning; memory; nerve cell; Note; posterior insula; priority journal; threat; threat memory",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069579904
"Funk M.A.","57207944831;","Sweet spot for making oligosaccharides",2019,"Science","364","6441",,"647","",,,"10.1126/science.364.6441.645-n","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069579290&doi=10.1126%2fscience.364.6441.645-n&partnerID=40&md5=a2096ddbb2895ddb506d843fca875ff5",,"Funk, M.A.",[No abstract available],,"glucose; glycan; nucleophile; oligosaccharide; sialic acid; brain development; carbohydrate analysis; cell adhesion; conformation; immune response; Note; priority journal; synthesis",,"glucose, 50-99-7, 84778-64-3",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069579290
"Grocholski B.","35362140600;","Graphite gets a second sound",2019,"Science","364","6438",,"34","",,,"10.1126/science.364.6438.347-o","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069579056&doi=10.1126%2fscience.364.6438.347-o&partnerID=40&md5=b4e4993bc04482a50d51560f83a3dafd",,"Grocholski, B.",[No abstract available],,"graphite; heat transfer; low temperature; materials science; Note; priority journal; sound",,"graphite, 7782-42-5",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069579056
"Ash C.","7006283833;","A little help from a friend",2019,"Science","364","6445",,"1045","",,,"10.1126/science.364.6445.1043-l","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069578914&doi=10.1126%2fscience.364.6445.1043-l&partnerID=40&md5=103fbe1cd6f4dd27389bb9befa4659cc",,"Ash, C.",[No abstract available],,"fatty acid; kahalalide derivative; unclassified drug; alga; bioaccumulation; biosynthesis; Bryopsis; grazer; Hawaiian sea slug; mollusc; nonhuman; Note; priority journal; toxin production",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069578914
"Foley J.F.","57204828995;","IRF2 induces gasdermin D for pyroptosis",2019,"Science","364","6442",,"748","",,,"10.1126/science.364.6442.746-r","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069577190&doi=10.1126%2fscience.364.6442.746-r&partnerID=40&md5=bc2f66d6a3578bcc6d134b4e4bf5095e",,"Foley, J.F.",[No abstract available],,"gasdermin D; inflammasome; interferon regulatory factor 2; interleukin 1beta; unclassified drug; amino terminal sequence; cell death; cell membrane; cytokine release; gene function; human; inflammatory disease; IRF2 gene; nonhuman; Note; oligomerization; priority journal; pyroptosis; sepsis; transcription regulation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069577190
"Purnell B.A.","6603532919;","Illuminating intestine irradiation",2019,"Science","364","6443",,"848","",,,"10.1126/science.364.6443.846-j","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069577181&doi=10.1126%2fscience.364.6443.846-j&partnerID=40&md5=eb25404c801e27a81d4001de10886e80",,"Purnell, B.A.",[No abstract available],,"beta catenin; chaperone; chaperone unconventional prefolding RPB5 interactor; Myc protein; unclassified drug; cell proliferation; cell protection; cells by body anatomy; disease severity; dose response; gastrointestinal disease; intestine irradiation; intestine regeneration; ionizing radiation; irradiation; label retaining cell; nonhuman; Note; priority journal; protein protein interaction; radiation dose; radiation exposure; radiosensitivity; tissue regeneration",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069577181
"Williams I.","57207030310;","Epigenetic enablers of B cell activation",2019,"Science","364","6439",,"449","",,,"10.1126/science.364.6439.447-s","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069575829&doi=10.1126%2fscience.364.6439.447-s&partnerID=40&md5=13d99db05bbf50a7c47cb9c511457e49",,"Williams, I.",[No abstract available],,"activation induced cytidine deaminase; Aicda gene; B lymphocyte activation; chemical modification; demethylation; epigenetics; gene; gene deletion; gene expression regulation; hydroxymethylation; Note; priority journal; somatic hypermutation; TET2 gene; TET3 gene",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069575829
"Hines P.J.","7007106302;","Mix of metabolites tunes root microbiota",2019,"Science","364","6440",,"544","",,,"10.1126/science.364.6440.542-l","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069574881&doi=10.1126%2fscience.364.6440.542-l&partnerID=40&md5=792a51440100b1c3fe86d588da44b4f6",,"Hines, P.J.",[No abstract available],,"acyltransferase; oxidoreductase; Arabidopsis thaliana; biodiversity; biosynthesis; metabolite; microflora; nonhuman; Note; priority journal; root microbiota; signal transduction",,"acyltransferase, 9012-30-0, 9054-54-0; oxidoreductase, 9035-73-8, 9035-82-9, 9037-80-3, 9055-15-6",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069574881
"Alderton G.","57207948291;","Sex bias in research animals",2019,"Science","364","6443",,"848","",,,"10.1126/science.364.6443.846-p","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069574866&doi=10.1126%2fscience.364.6443.846-p&partnerID=40&md5=f80d1ba5c718601a6040a758f323aa0d",,"Alderton, G.",[No abstract available],,"clinical research; gender bias; hormonal regulation; neuroscience; nonhuman; Note; priority journal; sex difference; species differentiation; Animalia",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069574866
"Fahrenkamp-Uppenbrink J.","6508286276;","Cost of the “Internet of things”",2019,"Science","364","6438",,"349","",,,"10.1126/science.364.6438.347-s","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069571383&doi=10.1126%2fscience.364.6438.347-s&partnerID=40&md5=5f4a75336e779a40b1f40daa0ed5dc09",,"Fahrenkamp-Uppenbrink, J.",[No abstract available],,"consumer attitude; energy consumption; energy cost; internet of things; manufacturing industry; Note; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069571383
"Szuromi P.","57196471264;","Mobile particles in colloidal crystals",2019,"Science","364","6446",,"1148","",,,"10.1126/science.364.6446.1146-o","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069571348&doi=10.1126%2fscience.364.6446.1146-o&partnerID=40&md5=ac4d4b58df59388124c6e3647311cceb",,"Szuromi, P.",[No abstract available],,"nanoparticle; colloid; crystal structure; crystallization; DNA strand; electron; hybridization; molecular dynamics; Note; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069571348
"Hurtley S.M.","56503377300;","Integrated stress response on the brain",2019,"Science","364","6439",,"449","",,,"10.1126/science.364.6439.447-p","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069571165&doi=10.1126%2fscience.364.6439.447-p&partnerID=40&md5=bb99450aef6ec0de9c9601fbb054b1f6",,"Hurtley, S.M.",[No abstract available],,"guanine nucleotide exchange factor; initiation factor 2; binding affinity; cryoelectron microscopy; crystal structure; eukaryote; neuroscience; Note; nuclear reprogramming; priority journal; protein binding; protein function; protein modification; protein phosphorylation; protein synthesis; stress",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069571165
"Nusinovich Y.","57210032122;","Dissecting risk for new mothers",2019,"Science","364","6439",,"449","450",,,"10.1126/science.364.6439.447-r","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069570265&doi=10.1126%2fscience.364.6439.447-r&partnerID=40&md5=07c5ea2b2588ca1b445eb00e1649e07b",,"Nusinovich, Y.",[No abstract available],,"oxytocin; aortic dissection; breast milk; cardiovascular risk; childbirth; complication; disease association; hormone action; human; labor; Marfan syndrome; Note; physiological stress; pregnancy; priority journal; risk assessment",,"oxytocin, 50-56-6, 54577-94-5",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069570265
"Yeston J.","57195603975;","Excising an olefin",2019,"Science","364","6441",,"647","",,,"10.1126/science.364.6441.645-o","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069569180&doi=10.1126%2fscience.364.6441.645-o&partnerID=40&md5=c0fd88a62e25965271ff8180a1072d31",,"Yeston, J.",[No abstract available],,"alkene; carbon; hydrogen; iron; metal organic framework; ozone; terpene; atom; chemical bond; chirality; nonhuman; Note; organic chemistry; plant; priority journal",,"carbon, 7440-44-0; hydrogen, 12385-13-6, 1333-74-0; iron, 14093-02-8, 53858-86-9, 7439-89-6; ozone, 10028-15-6",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069569180
"Scanlon S.T.","57207946389;","Context shapes anticommensal immunity",2019,"Science","364","6446",,"1148","",,,"10.1126/science.364.6446.1146-m","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069568281&doi=10.1126%2fscience.364.6446.1146-m&partnerID=40&md5=311b19b7c216464b77c35408dcaf33a5",,"Scanlon, S.T.",[No abstract available],,"immunoglobulin G1 antibody; Akkermansia muciniphila; antibody production; B lymphocyte; CD4+ T lymphocyte; cell population; human; immune response; intestine flora; mucosal immunity; nonhuman; Note; obesity; priority journal; tumor immunity; wound healing",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85069568281
